Gene	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37
GENE_00001	1.84177020638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44169278954	0.72503333658	8.48756836471	0.631208228809	1.20029589694	0.0	0.0	0.0	5.13200330411	0.0
GENE_00002	0.126148644273	0.0	0.0	0.0	0.682522075948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.408858273928	0.0	0.0	0.0912632644316	0.236766850193	1.05329153574	0.297958905444	0.387560199302	0.475567843623	1.1509686683	0.0	1.01848910894	0.0	0.087876768906	0.359401059292
GENE_00003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.250207932988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.094061644137	0.0
GENE_00004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GENE_00005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0622492568886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GENE_00006	0.0	0.0	0.265931534468	0.0	0.0	0.0	0.0	0.0999047429456	0.0	0.0	0.0	0.0	0.0	0.0	0.332269276197	0.0	0.0	0.0	0.0	0.0	0.0	0.151486278781	0.311877262244	0.0	0.0	0.0	1.13523678582	0.621419305836	0.729200194836	1.62597095109	0.816217537253	0.172456307032	0.0	0.0	0.0	0.0	0.150783203036
GENE_00007	0.0	0.0675806300129	0.0842843114708	0.0902026292795	0.0	0.0650130147757	0.0	0.158318991553	0.0	0.0	0.0552418186784	0.0	0.0	0.390817122511	0.947784492758	0.0	0.155411484789	0.0	0.0705654422976	0.0	0.0679554833793	0.0480120446411	0.37067379529	0.0	0.0	0.0	1.97891002555	0.503323226463	1.35365969034	0.644168819422	0.431153161755	0.655899397237	0.0954824870286	1.52355952771	0.0	0.292122228148	0.573470542695
GENE_00008	0.0	0.0640790429656	0.0	0.0	0.0	0.0	0.0	0.0900695609976	0.567193926851	0.0	0.0	0.0	0.0	0.138962824001	0.898676487952	0.0	0.0	0.0	0.0	0.0	0.0	0.546292487211	0.63264221849	0.0	0.0	0.172596329106	2.36679223675	0.684741825774	1.59657600024	0.366475317993	0.981152687268	0.62191497251	0.0	0.0	0.0	0.166191816843	0.407817782305
GENE_00009	0.132692377982	0.0356405051653	0.0	0.0	0.0	0.102859207815	0.0	0.250481632169	0.0	0.0	0.0	0.0	0.253313013908	0.309162248211	0.499840236815	0.307333791949	0.0	0.0	0.0	0.0	0.0	0.151922838662	0.31277604398	0.0	0.0	0.239993454737	1.92123286015	0.761701281697	0.992480792148	0.407664186586	0.363808777412	0.172953299272	0.0	0.669575873131	0.0	0.184870436027	0.151217736763
GENE_00010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.536939726377	0.0	0.0	0.0	0.310414641577	0.0	0.0	0.0	0.0	0.179353832506	0.0	0.0	0.0	0.376851691878	0.0	0.0	0.385545040712	1.8861486181	0.667450365527	0.6713271635	0.0	0.73056507964	0.555692544882	0.0	0.645396744379	0.0	0.0	0.364392740671
