gene_id	superkingdom	phylum	class	order	family	genus	species
GENE_00001	Bacteria	Proteobacteria	Betaproteobacteria	Unclassified.Betaproteobacteria	Unclassified.Betaproteobacteria	Unclassified.Betaproteobacteria	Betaproteobacteria bacterium MOLA814
GENE_00002	Bacteria	Proteobacteria	Betaproteobacteria	Unclassified.Betaproteobacteria	Unclassified.Betaproteobacteria	Unclassified.Betaproteobacteria	Betaproteobacteria bacterium MOLA814
GENE_00003	Bacteria	Cyanobacteria	Unclassified.Cyanobacteria	Unclassified.Cyanobacteria	Unclassified.Cyanobacteria	Unclassified.Cyanobacteria	Unclassified.Cyanobacteria
GENE_00004	Bacteria	Unclassified.Bacteria	Unclassified.Bacteria	Unclassified.Bacteria	Unclassified.Bacteria	Unclassified.Bacteria	Unclassified.Bacteria
GENE_00005	Bacteria	Unclassified.Bacteria	Unclassified.Bacteria	Unclassified.Bacteria	Unclassified.Bacteria	Unclassified.Bacteria	Unclassified.Bacteria
GENE_00006	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
GENE_00007	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unclassified.Pseudomonas
GENE_00008	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unclassified.Pseudomonas
GENE_00009	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unclassified.Pseudomonas
GENE_00010	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unclassified.Pseudomonas
GENE_00011	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unclassified.Pseudomonas
GENE_00012	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus	Unclassified.Ostreococcus
GENE_00013	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus	Unclassified.Ostreococcus
